id,level,skill,lesson,type,prompt,opt_a,opt_a_correct,opt_a_why,opt_b,opt_b_correct,opt_b_why,opt_c,opt_c_correct,opt_c_why,opt_d,opt_d_correct,opt_d_why,accepted,explanation,grammar_note,tags
n1-001,N1,grammar,g1-grammar1,fill_blank,"本日___、当店は閉店させていただきます。",,,,,,,,,,,,,"をもって","～をもって marks a point in time formally: as of today.",g-n1-1,grammar
n1-002,N1,grammar,g1-grammar1,fill_blank,"これは老舗___の落ち着いた味わいだ。",,,,,,,,,,,,,"ならでは","老舗ならではの = a flavour distinctive of a long-established shop.",g-n1-1,grammar
n1-003,N1,grammar,g1-grammar1,fill_blank,"真相を究明す___、調査を続けている。",,,,,,,,,,,,,"べく","～べく = in order to; attaches to the dictionary form of the verb.",g-n1-1,grammar
n1-004,N1,grammar,g1-grammar1,fill_blank,"駅に着く___否や、電車は出てしまった。",,,,,,,,,,,,,"や","～や否や = the moment that; as soon as something happens.",g-n1-1,grammar
n1-005,N1,grammar,g1-grammar1,fill_blank,"非常時___、冷静な判断が求められる。",,,,,,,,,,,,,"にあって","～にあって = being in a particular situation or era.",g-n1-1,grammar
n1-006,N1,grammar,g1-grammar1,fill_blank,"彼を___、この役を任せられる人はいない。",,,,,,,,,,,,,"おいて","～をおいて…ない = there is no one apart from ~.",g-n1-1,grammar
n1-007,N1,grammar,g1-grammar1,fill_blank,"周囲の心配を___に、彼は計画を進めた。",,,,,,,,,,,,,"よそ","～をよそに = ignoring; in disregard of (the surroundings).",g-n1-1,grammar
n1-008,N1,grammar,g1-grammar1,fill_blank,"兄の社交的な性格に___、弟は無口だ。",,,,,,,,,,,,,"ひきかえ","～にひきかえ = in contrast to; unlike.",g-n1-1,grammar
n1-009,N1,grammar,g1-grammar1,mcq,"「結果___、対応を考え直す必要がある。」に最も合うのは?","いかんでは",true,"～いかんでは = depending on the result; correct.","ところに",false,"～ところに marks a moment, not a condition.","とばかりに",false,"～とばかりに means 'as if to say', not 'depending on'.","にもまして",false,"～にもまして means 'even more than', not 'depending on'.",,"～いかんで(は) expresses that something depends on the noun before it.",g-n1-1,grammar
n1-010,N1,grammar,g1-grammar1,mcq,"「去年___、今年の売り上げは好調だ。」に最も合うのは?","にもまして",true,"～にもまして = even more than last year; correct.","をもって",false,"～をもって marks a time point or means, not comparison.","ならでは",false,"～ならでは means 'distinctive of', not comparison.","や否や",false,"～や否や means 'as soon as', not comparison.",,"～にもまして expresses 'even more than ~', stressing increase.",g-n1-1,grammar
n1-011,N1,grammar,g1-grammar2,fill_blank,"教師にある___言動は厳しく非難された。",,,,,,,,,,,,,"まじき","～まじき = unbecoming; conduct that must not be done.",g-n1-2,grammar
n1-012,N1,grammar,g1-grammar2,fill_blank,"生き延び___ために、彼らは必死で働いた。",,,,,,,,,,,,,"んが","～んがため(に) = for the very purpose of; attaches to the ない-stem.",g-n1-2,grammar
n1-013,N1,grammar,g1-grammar2,fill_blank,"今年はいいこと___で、本当に幸運だった。",,,,,,,,,,,,,"ずくめ","～ずくめ = completely full of; nothing but good things.",g-n1-2,grammar
n1-014,N1,grammar,g1-grammar2,fill_blank,"彼は物事を悲観的に考える___がある。",,,,,,,,,,,,,"きらい","～きらいがある = tends (undesirably) to do something.",g-n1-2,grammar
n1-015,N1,grammar,g1-grammar2,fill_blank,"専門家とも___と、説明の的確さが違う。",,,,,,,,,,,,,"なる","～ともなると = once it gets to the stage of being ~.",g-n1-2,grammar
n1-016,N1,grammar,g1-grammar2,fill_blank,"一日___とも休むわけにはいかない。",,,,,,,,,,,,,"たり","～たりとも…ない = not even a single ~.",g-n1-2,grammar
n1-017,N1,grammar,g1-grammar2,fill_blank,"何が起ころ___と、私は驚かない。",,,,,,,,,,,,,"う","～(よ)うと = no matter whether / whatever happens.",g-n1-2,grammar
n1-018,N1,grammar,g1-grammar2,fill_blank,"この薬は一度飲んだが___、やめられなくなる。",,,,,,,,,,,,,"最後|さいご","～たが最後 = once you do it, an irreversible bad result follows.",g-n1-2,grammar
n1-019,N1,grammar,g1-grammar2,mcq,"「子供___、最低限の礼儀は必要だ。」に最も合うのは?","であれ",true,"～であれ = whether it be (a child); correct.","ずくめ",false,"～ずくめ means 'full of', and follows a noun differently.","んがため",false,"～んがため means 'in order to', not 'even if'.","きらいがある",false,"～きらいがある means 'tends to', not 'even if'.",,"～であれ expresses 'whether it be ~ / even if it is ~'.",g-n1-2,grammar
n1-020,N1,grammar,g1-grammar2,mcq,"「ぜいたくの___ような暮らしぶりだ。」に最も合うのは?","極みの",true,"～の極み = the height/extreme of luxury; correct.","まじき",false,"～まじき means 'unbecoming', and follows verbs.","たりとも",false,"～たりとも means 'not even one', and needs a negative.","ともなれば",false,"～ともなれば means 'once it becomes', not 'extreme of'.",,"～の極み expresses the utmost degree of something.",g-n1-2,grammar
n1-021,N1,grammar,g1-nuance,mcq,"「油断した___、試合に負けてしまった。」 ばかりに か だけに か?","ばかりに",true,"～ばかりに = solely because of that one bad cause; correct.","だけに",false,"～だけに leads to an expected result, not a regretted one.","うえに",false,"～うえに means 'on top of', adding information.","ところを",false,"～ところを marks a moment in time.",,"～ばかりに blames one cause for an undesirable outcome.",g-n1-nuance,grammar
n1-022,N1,grammar,g1-nuance,mcq,"「プロ___、彼の演奏はやはり見事だ。」 ばかりに か だけに か?","だけに",true,"～だけに = precisely because (a pro), with an expected result.","ばかりに",false,"～ばかりに introduces a regretted bad cause.","ものを",false,"～ものを expresses reproach or regret.","につけ",false,"～につけ means 'whenever', not 'because'.",,"～だけに leads to a natural, expected consequence.",g-n1-nuance,grammar
n1-023,N1,grammar,g1-nuance,mcq,"「その案には賛成し___。」 (ていねいに『できない』と言う)","かねます",true,"～かねる = cannot (do), stated politely; correct.","かねません",false,"～かねない means 'might well (happen)', not 'cannot'.","がたいです",false,"～がたい is possible but less standard here than かねる for refusal.","きれません",false,"～きれない means 'cannot finish', not 'cannot agree'.",,"～かねる is a polite way to say one is unable to do something.",g-n1-nuance,grammar
n1-024,N1,grammar,g1-nuance,mcq,"「そのままでは事故になり___。」 (悪い可能性)","かねない",true,"～かねない = might well (lead to a bad result); correct.","かねる",false,"～かねる means 'cannot', the opposite nuance.","えない",false,"～えない means 'cannot', not 'might'.","づらい",false,"～づらい means 'hard to do', not 'might happen'.",,"～かねない warns that an undesirable thing could well happen.",g-n1-nuance,grammar
